# Neighbor     dist.[au]     Jij [mRy]
     1         4.68872      1.318131
     2         5.41407      0.119545
     3         7.65664      0.010931
     4         8.97821      0.038139
     5         9.37744      0.064937
     6         9.37744      0.013366
     7        10.82813      0.063495
     8        11.79968      0.013216
     9        12.10622     -0.004912
    10        13.26170     -0.000146
    11        13.26170     -0.000146
    12        14.06615      0.000112
    13        14.06615     -0.000890
    14        15.31329      0.002589
    15        16.01502      0.000816
    16        16.24220     -0.000981
    17        16.24220      0.015892
    18        16.24220      0.002383
