#Neighbor     dist.[au]     Jij [mRy]
     1         4.68872      1.318136
     2         4.68872      1.318131
     3         7.65664      0.066600
     4         8.97821      0.038140
     5         8.97821      0.038139
     6        10.82813      0.053253
     7        11.79968      0.013216
     8        11.79968      0.013216
     9        13.26170     -0.012665
    10        14.06615     -0.000890
    11        14.06615      0.000112
    12        14.06615      0.000112
    13        14.06615     -0.000890
    14        15.31329      0.006262
    15        16.01502      0.000816
    16        16.01502      0.000816
